pmid,estrato,gold_answer,n_modelos,modelos,respostas,termo_que_casou,comprimento_termo,na_amostra,veredito_manual,nota_revisor,contexto
21252223,Q4_Cauda_Longa,SWI5-MEI5,3,gemma4_26b;gemma4_31b;llama3.3_70b,SAE3 | Sae3 | Sae3-Mei5,sae3,4,nao,eco_real,'the budding yeast counterpart Sae3-Mei5 is meiosis-specific',"...ologous recombination repair, the budding yeast counterpart sae3-mei5 is meiosis-specific, interacts with dmc1, and promotes..."
25752612,Q4_Cauda_Longa,N-acetylated alpha-linked acidic dipeptidase-like protein,2,gemma4_26b;qwen3.6_35b,HILAP,hilap,5,sim,eco_real,'suggest a new name for this enzyme: human ileal aminopeptidase (HILAP)',...est a new name for this enzyme: human ileal aminopeptidase (hilap)...
26565952,Q4_Cauda_Longa,TGFB2 overlapping transcript 1,1,gemma4_31b,TGFB2-OT1,tgfb2-ot1,9,sim,eco_real,'long noncoding RNA TGFB2-OT1 in autophagy' no titulo,...new microrna signal pathway regulated by long noncoding rna tgfb2-ot1 in autophagy and inflammation of vascular endothelial cells...
26884884,Q4_Cauda_Longa,dual-specificity phosphatase 5 pseudogene 1,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,DUSP5P1,dusp5p1,7,nao,eco_real,'high expression of [MASK] (DUSP5P1)' no titulo,...high expression of [mask] (dusp5p1) is associated with poor prognosis in acute myeloid leukemi...
29084806,Q4_Cauda_Longa,LOC102723505,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,ROCR,rocr,4,sim,eco_real,'the long non-coding RNA ROCR contributes to SOX9' no titulo,...the long non-coding rna rocr contributes to sox9 expression and chondrogenic differentia...
29110645,Q4_Cauda_Longa,Long intergenic non-protein-coding RNA 1567,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,LOCCS | LOCCS (LOCCS),loccs,5,sim,eco_real,'LOCCS-siRNA and pcDNA-LOCCS plasmid vectors',"...n ability, and tumorigenicity of cd133+/cd166+/cd44+ cells. loccs-sirna and pcdna-loccs plasmid vectors were constructed and ..."
29518376,Q4_Cauda_Longa,C8orf46,1,llama3.3_70b,VEXIN,vexin,5,nao,eco_real,'[MASK] homolog encodes a novel protein vexin' no titulo,...[mask] homolog encodes a novel protein vexin that is required for neurogenesis in xenopus laevis. neural...
30275189,Q4_Cauda_Longa,miR-3148,1,llama3.3_70b,miR3148,mir3148,7,sim,eco_real,'stably expressing [MASK] (HCT116-miR3148)',"... advantage of hct116 cells stably expressing [mask] (hct116-mir3148) was observed compared to parental cells in vivo, but not i..."
30539011,Q4_Cauda_Longa,MicroRNA-4739,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,miRNA-4739,mirna-4739,10,nao,eco_real,'confirmed the increased miRNA-4739 level in patients with CLI',"...pendent cohorts, qrt-pcr validation confirmed the increased mirna-4739 level in patients with cli versus patients without cli. mir..."
30844657,Q4_Cauda_Longa,MicroRNA-575,2,gemma4_26b;gemma4_31b,miRNA-575,mirna-575,9,sim,eco_real,'miRNA-575 serves a pivotal role in GC',...ly impaired anti-proliferative effects of [mask] inhibitor. mirna-575 serves a pivotal role in gc as a cancer promoter gene by ta...
30951563,Q4_Cauda_Longa,microRNA-4474/4717,3,gemma4_26b;gemma4_31b;qwen3.6_35b,miR-4474,mir-4474,8,nao,eco_real,'MiR-4474 and [MASK] are up-regulated in CRC tissues',...hip human transcriptome array 2.0. the results suggest that mir-4474 and [mask] are up-regulated in crc tissues in response to f...
31012177,Q4_Cauda_Longa,miR-567,3,gemma4_26b;gemma4_31b;llama3.3_70b,miRNA-567,mirna-567,9,nao,eco_real,'cMRAS was a sponge of miRNA-567',"... experimental evidence confirmed that cmras was a sponge of mirna-567 and released its direct target, ptprg. cmras overexpression..."
31019085,Q4_Cauda_Longa,LOC105372576,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,WAKMAR1,wakmar1,7,nao,eco_real,'human skin long noncoding RNA WAKMAR1 regulates wound healing' no titulo,...human skin long noncoding rna wakmar1 regulates wound healing by enhancing keratinocyte migration...
31197235,Q4_Cauda_Longa,LINC00284,2,gemma4_26b;llama3.3_70b,ALDH1A3-regulated long non-coding RNA NRAD1 | NRAD1,nrad1,5,nao,eco_real,'ALDH1A3-regulated long non-coding RNA NRAD1' no titulo,...aldh1a3-regulated long non-coding rna nrad1 is a potential novel target for triple-negative breast tumo...
31200545,Q4_Cauda_Longa,LOC151484,2,gemma4_31b;llama3.3_70b,Lnc-ITM2C-1,lnc-itm2c-1,11,nao,eco_real,'Lnc-ITM2C-1 and GPR55 are proviral host factors' no titulo,...lnc-itm2c-1 and gpr55 are proviral host factors for hepatitis c virus. ...
31364107,Q4_Cauda_Longa,microRNA-8073,3,gemma4_26b;gemma4_31b;llama3.3_70b,MiRNA-8073 | miRNA-8073,mirna-8073,10,nao,eco_real,'miRNA-8073 targets ZNT1' no titulo,...mirna-8073 targets znt1 to inhibit malignant progression of ovarian ca...
31582779,Q4_Cauda_Longa,miR-4484,3,gemma4_26b;gemma4_31b;llama3.3_70b,miRNA-4484,mirna-4484,10,nao,eco_real,'a novel miRNA-4484 is up-regulated on microarray' no titulo,...a novel mirna-4484 is up-regulated on microarray and associated with increased...
32000125,Q4_Cauda_Longa,LINC01011,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,CISAL,cisal,5,nao,eco_real,'lncRNA CISAL inhibits BRCA1 transcription' no titulo,...lncrna cisal inhibits brca1 transcription by forming a tertiary structur...
32461121,Q4_Cauda_Longa,LINC00998,1,llama3.3_70b,SMIM30,smim30,6,sim,eco_real,'peptide SMIM30 promotes HCC development' no titulo,...peptide smim30 promotes hcc development by inducing src/yes1 membrane anch...
32583575,Q4_Cauda_Longa,microRNA-620,2,gemma4_26b;llama3.3_70b,MiRNA-620,mirna-620,9,sim,eco_real,'miRNA-620 promotes TGF-beta1-induced proliferation' no titulo,...mirna-620 promotes tgf-beta1-induced proliferation of airway smooth m...
32818652,Q4_Cauda_Longa,OATP1B3-1B7,1,qwen3.6_35b,SLCO1B3-SLCO1B7,slco1b3-slco1b7,15,sim,eco_real,'encoded by SLCO1B3-SLCO1B7 readthrough' -- resposta literal,"...s a novel member of the oatp1b-subfamily, and is encoded by slco1b3-slco1b7 readthrough deriving from the genes slco1b3 and slco1b7 on ..."
33046716,Q4_Cauda_Longa,LINC01546,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,VAL | Vimentin associated lncRNA,val,3,sim,eco_real,"NAO e valina: 'lncRNA VAL (Vimentin Associated lncRNA, [MASK])' -- o nome por extenso esta ao lado da mascara",...akt-induced lncrna val promotes emt-independent metastasis through diminishing tri...
33505972,Q4_Cauda_Longa,linc01013,3,gemma4_26b;gemma4_31b;llama3.3_70b,Aerrie | lncRNA-Aerrie,aerrie,6,nao,eco_real,'long non-coding RNA Aerrie controls DNA damage repair' no titulo,...long non-coding rna aerrie controls dna damage repair via ybx1 to maintain endothelial...
33789307,Q4_Cauda_Longa,MiR-3161,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,miRNA-3161,mirna-3161,10,nao,eco_real,'introduced a binding site to miRNA-3161',...l in patients. rs2953 t allele introduced a binding site to mirna-3161 and thus decreased luciferase activity. conclusion: polymor...
34535085,Q4_Cauda_Longa,microRNA-1278,2,gemma4_26b;gemma4_31b,miRNA-1278,mirna-1278,10,sim,eco_real,"'interaction of circ_0007059, miRNA-1278, and SHP-1'","...rase reporter assay detect the interaction of circ_0007059, mirna-1278, and shp-1. glomerulonephritis was performed in a mouse mod..."
34851809,Q4_Cauda_Longa,TH2LCRR,1,gemma4_31b,T Helper Type 2 Locus Control Region Associated RNA,t helper type 2 locus control region associated rna,51,nao,eco_real,'the promoter of [MASK] (T Helper Type 2 Locus Control Region Associated RNA)' -- nome por extenso ao lado da mascara,"...hree functional snps interacts with the promoter of [mask] (t helper type 2 locus control region associated rna), a recently identified long noncoding rna. rna-seq data an..."
35034552,Q4_Cauda_Longa,ADORA2A antisense RNA 1,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,ADORA2A-AS1,adora2a-as1,11,nao,eco_real,'lncRNA [MASK] (ADORA2A-AS1) in CML',...he potential role and molecular mechanism of lncrna [mask] (adora2a-as1) in cml. we found that the expression of adora2a-as1 was up...
35050429,Q4_Cauda_Longa,miR-4510,3,gemma4_26b;gemma4_31b;llama3.3_70b,miRNA-4510,mirna-4510,10,sim,eco_real,'miRNA-4510 expression in GPC3-GC was significantly lower',...cantly lower than that in the adjacent tissues (p < 0.001). mirna-4510 expression in gpc3-gc was significantly lower than that in ...
35388952,Q4_Cauda_Longa,DLG1 Antisense RNA 1,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,DLG1-AS1,dlg1-as1,8,nao,eco_real,'lncRNA DLG1-AS1 promotes cervical cancer' no titulo,...lncrna dlg1-as1 promotes cervical cancer cell gemcitabine resistance by reg...
37009826,Q4_Cauda_Longa,LINC00493,1,llama3.3_70b,SMIM26,smim26,6,sim,eco_real,'[MASK]-encoded microprotein SMIM26 exerts' no titulo,...[mask]-encoded microprotein smim26 exerts anti-metastatic activity in renal cell carcinoma. hu...
37014032,Q4_Cauda_Longa,Myoregulin,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,MLN,mln,3,nao,eco_real,'[MASK] (MLN) is a member of the regulin family',"...cidic residue in the calcium pump regulator [mask]. [mask] (mln) is a member of the regulin family, a group of homologous m..."
37612290,Q4_Cauda_Longa,C12ORF40,1,llama3.3_70b,REDIC1,redic1,6,nao,eco_real,'a novel recombination protein [MASK]/REDIC1' no titulo,...a novel recombination protein [mask]/redic1 is required for meiotic crossover formation. during meiosis...
38300343,Q4_Cauda_Longa,mir-4638,3,gemma4_26b;llama3.3_70b;qwen3.6_35b,MicroRNA-4638 | MicroRNA-4638-3p,MicroRNA-4638,13,nao,eco_real,'functional role of MicroRNA-4638-3p in breast cancer bone metastasis' no titulo,...in vivo validation of the functional role of microrna-4638-3p in breast cancer bone metastasis. purpose: skeletal meta...
41444079,Q4_Cauda_Longa,IDH1-AS1,1,gemma4_26b,"lncRNA-IADMP, IADMP",iadmp,5,nao,eco_real,'the oncomicropeptide IADMP promotes lung cancer progression' no titulo,...the oncomicropeptide iadmp promotes lung cancer progression by stablilized rps3a expre...
6672765,Q4_Cauda_Longa,c-K-ras-1,3,gemma4_26b;llama3.3_70b;qwen3.6_35b,K-ras-1,k-ras-1,7,sim,eco_real,"'localization of N-ras, K-ras-1, K-ras-2 and myb oncogenes' no titulo","...regional chromosomal localization of n-ras, k-ras-1, k-ras-2 and myb oncogenes in human cells. the identificati..."
9177776,Q4_Cauda_Longa,ribosomal protein L3 homologous,1,gemma4_26b,RPL3-Hom,rpl3-hom,8,nao,eco_real,'[MASK] gene (RPL3-Hom) were also found in the vicinity of the HLA-B and -C genes',"...dihydrofolate reductase pseudogene (dhfrp) and [mask] gene (rpl3-hom), were also found in the vicinity of the hla-b and -c genes..."
9877162,Q4_Cauda_Longa,(pro)napsin B,1,gemma4_31b,pronapsin B,pro,3,nao,falso_alarme,termo 'pro' (3 letras) casou dentro de '(pro)napsin A' -- OUTRO gene. A resposta 'pronapsin B' nao ocorre no texto (0 casamentos).,...ecursors of two hitherto unknown aspartic proteinases. the (pro)napsin a gene is expressed predominantly in lung and kidney...
